;propertyCode;Centro_comercial;Centro_comercial_distancia;cinema;distancia_cinema;Parque;Parque_distancia;Gimnasio ;Gimnasio _distancia;Supermercado;Supermercado_distancia;Teatro ;Teatro _distancia;farmacia_mas_cercana;distancia_farmacias;Escuelas;escuelas_distancia
65;104491424;Dorven;836.6379762974947;Arenas de Barcelona;903.2293462201724;;254.25780770144;Viva Gym;513.8844367040817;Caprabo;85.82649059299635;sala Ovidi Montllor;209.0698116430184;Farmacia Roca;32.657853875127024;Col·legi Sant Francesc Xavier;177.61693629503222
66;104254323;Muji;446.6022407544529;Comedia;581.5455223737499;;381.5266598164636;Áccura Bruc;384.54546336245386;;173.58030354672275;Coliseum;623.5498949396068;Farmàcia 1896;38.61627336461751;Prat;211.5281586126515
67;99736872;DISTAR centres del descans;852.2735103662914;Phenomena;1045.5805560712915;;60.57632002664787;Centre esportiu municipal Can Toda;634.5436838111495;Consum;216.75594377624392;Golem's;731.8969223592176;Farmàcia Cardenal López, Maria del Carme;89.24924502165624;Acis;357.52576983117376
68;102756132;Galeries Maldà;58.915026188565655;Cinema Maldà;30.44751991142418;;222.80277932355037;Yoga Weeks Barcelona;495.9973668274692;Spar;172.4795063614724;Poliorama;355.1369501107155;Farmàcia Guilera Barba, Marc;142.18078336195833;Escola Massana;415.1795256671164
69;104706723;UME Muntaner Unió Musical;867.0416077695623;Cinemes Boliche;227.26418182208303;;198.52258101299967;Dir Tuset;287.1532758122657;Jespac Supermercats;165.30338198018308;Jove Teatre Regina;545.2594957494767;Farmàcia Bellmunt Fernández, Elena;42.547454177451584;Escola Pia Sant Miquel;333.7420668433223
70;102475902;El Corte Inglés;2339.350831286837;Gran Sarria Multicines;2750.1503073291547;;285.618748347971;Anytime Fitness;1200.849594356541;Badul-a-que;1184.2441790764626;Centre Parroquial de Sant Vicenç de Sarrià;1311.2994332548983;Farmàcia Maria Àngels Beumala Llunell;420.5589295846346;Escola Betània - Patmos;87.99116683417994
71;96978808;UME Muntaner Unió Musical;431.7866752361901;Balmes Multicines;901.133605582606;;250.65086756686037;Àrea Pilates Barcelona;523.5552674322876;Plusfresc;163.35728920306298;La Gleva;555.3829126851153;Farmàcia Arqué Garrofé, Roser;29.69945727211679;Escola Mary Ward;191.12149618305745
72;105959775;El Corte Inglés (Can Dragó);850.6511583072576;CINESA Porta;982.7327867370376;;147.7984031624447;;607.3530309495403;charter;147.3437992699402;Ateneu Popular de Nou Barris;1019.86058993838;Farmàcia Segui, M. Carme - Ulied, M. i C.;27.2252799924404;Escola Sagrada Família;353.03211008149555
73;104050541;Alejandra;694.7486408022669;Balmes Multicines;654.1271459951159;;269.6286256688811;;78.02802404640263;Caprabo;56.21663400730549;La Gleva;1122.4744355136854;Farmàcia Sorni;26.2883582814474;Santa Teresa - Ganduxer;424.4399013675969
74;97567761;Galeries Maldà;763.2633061825852;Cinema Maldà;725.8206334648985;;318.8000575553354;Ashtanga Yoga Shala;256.77693632011824;;79.57135039489697;Palau Dalmases;335.8897100831604;Farmàcia Paricio Toledo, Jesus Carlos;136.08954870369445;Escola Ángel Baixeiras;179.43652011183497
75;105962622;DISTAR centres del descans;939.9526216513752;Phenomena;278.1761992998401;;167.59354670349384;Centre Esportiu Claror;248.7740702217778;Charter;35.742895897074895;Teatre Gaudi;278.38504296225324;Farmàcia Audet Bonet, Gemma;99.31513635597236;Escola Fructuós Gelabert;169.8428251034466
