propertyCode;url;floor;propertyType;size;exterior;rooms;bathrooms;hasLift;hasStaging;hasParkingSpace;hasSwimmingPool;hasTerrace;hasAirConditioning;hasBoxRoom;hasGarden;zip_code;priceDropValue;price;Centro_comercial;Centro_comercial_distancia;cinema;distancia_cinema;Parque;Parque_distancia;Gimnasio ;Gimnasio _distancia;Supermercado;Supermercado_distancia;Teatro ;Teatro _distancia;farmacia_mas_cercana;distancia_farmacias;Escuelas;escuelas_distancia
105879271;https://www.idealista.com/inmueble/105879271/;2;flat;40.0;False;2;1;False;False;False;No data;True;No data;No data;No data;8094;4000.0;105000.0;Travessa outdoor;1661.0967827971067;Filmax Gran Via;1823.626002903572;;196.47242444984977;Club esportiu Laietà;839.4290118850363;Condis;94.54755445902184;Teatre Joventut;361.031808585797;Farmàcia Bertran Gómez - Camacho Pelaez;79.3471735225054;Institut Escola Maria Miret;232.3051992144974
105985157;https://www.idealista.com/inmueble/105985157/;8;flat;73.0;False;3;1;True;False;False;No data;No data;True;No data;No data;8991;No data;229000.0;la Farga;499.6773331902694;Filmax Gran Via;2128.304716923126;;92.03318290709696;;118.81611294131216;;43.90788848036038;Auditori Barradas;973.8277071404552;Farmacia R. Moreno;154.33266563142087;Escola Pau Sans;212.84505474608545
96347582;https://www.idealista.com/inmueble/96347582/;2;flat;68.0;True;3;1;False;False;False;No data;No data;No data;No data;No data;8902;No data;83000.0;Gran Via 2;1148.4571330466713;Filmax Gran Via;1148.4215928012804;;160.94065346913348;Judo Club l'Hospitalet;428.136893847871;Bon Area;167.3551912791336;Auditori la Torrassa;325.14881684426007;Farmàcia Sainz Varona, Maria del Pilar;118.57753015750122;Escola Azorín;230.8659665913329
105881753;https://www.idealista.com/inmueble/105881753/;4;flat;55.0;True;3;1;False;False;False;No data;No data;No data;No data;No data;8903;5000.0;155000.0;Gran Via 2;1172.3868035561115;Filmax Gran Via;1215.8281766437738;;156.66954743117293;Judo Club l'Hospitalet;609.0275139783402;Condis;231.2560774633646;Auditori la Torrassa;535.7835517398443;Farmàcia Álamos López, Pilar;108.47184310559908;Escola Provençana;192.00843673140463
99156401;https://www.idealista.com/inmueble/99156401/;No data;flat;64.0;True;3;1;False;False;False;No data;No data;No data;No data;No data;8906;9500.0;97500.0;la Farga;653.0441978128999;Filmax Gran Via;2870.2561713664018;;86.72397632102789;;1091.8923778479002;Mercadona;499.6891382264419;Auditori Barradas;763.937156455555;Farmàcia Miguel Isidro Úbeda Galindo;229.6297184142914;Escola Lola Anglada;146.50671525015198
105515299;https://www.idealista.com/inmueble/105515299/;1;flat;85.0;False;3;1;True;False;False;No data;True;True;No data;No data;8905;10000.0;280000.0;la Farga;1080.6271445415605;Filmax Gran Via;2286.555636912119;;136.98207230582116;;1064.26602574894;Consum;93.07957065656312;Teatre Joventut;763.8461281726948;Farmàcia La Florida;79.27021351303411;Escola Pau Vila;263.4991775048759
104894547;https://www.idealista.com/inmueble/104894547/;1;flat;83.0;True;3;1;False;False;False;No data;No data;No data;No data;No data;8903;4000.0;175000.0;Travessa outdoor;1538.007294814204;Filmax Gran Via;1605.2565411416847;;163.7305043208479;Judo Club l'Hospitalet;879.1876476375327;Condis;205.0248125654976;Auditori la Torrassa;138.08348616314802;Farmàcia Bertran Gómez - Camacho Pelaez;170.90061280892863;Institut Escola Maria Miret;250.87786341393564
105905831;https://www.idealista.com/inmueble/105905831/;9;penthouse;32.0;True;2;1;True;False;False;No data;No data;No data;No data;No data;8904;No data;148000.0;la Farga;1396.3752662265993;Filmax Gran Via;1700.2229664130307;;160.6311882116345;Poliesportiu Municipal Gornal;849.4894499917161;Consum;369.53103844662985;Teatre Joventut;527.1245607991688;Farmàcia Totosaus Arribas, M. del Pilar;232.44401641612015;Escola Pau Casals;185.21628604817192
99207518;https://www.idealista.com/inmueble/99207518/;1;flat;109.0;True;3;1;True;False;False;No data;No data;No data;No data;No data;8905;No data;259000.0;la Farga;579.1382753914826;Filmax Gran Via;2316.778525084603;;185.6406795575948;;643.8188160059029;Dhanda;376.3638956919901;Auditori Barradas;989.8487025659824;Farmàcia Marc Trobat Domenech;76.65633985878355;Escola Sant Josep - el Pi;164.09536750795667
105627707;https://www.idealista.com/inmueble/105627707/;5;flat;75.0;True;3;1;True;False;False;No data;No data;No data;No data;No data;8907;10000.0;279000.0;rafay fuit i verduras;699.0820194973561;Filmax Gran Via;2089.894426854238;;95.07281559056844;Metropolitan Gran Via;449.5774087407861;Condis;429.1637321087996;Auditori Barradas;1887.383133596824;Farmacia Palau Roig;122.18267171855736;Escola Ramon Muntaner;233.53724353953885
101263131;https://www.idealista.com/inmueble/101263131/;bj;flat;60.0;True;3;1;True;False;False;No data;No data;No data;No data;No data;8904;No data;131000.0;la Farga;1675.8078240660363;Filmax Gran Via;2032.2364661330248;;316.9945061894535;Club esportiu Laietà;717.6180513987074;Charter;65.485807584437;Teatre Joventut;131.7211748005318;Farmàcia Anna M. Beltran Capafons;89.08194480377618;Institut Eugeni d’Ors;161.11024095438702
