price;price_pred;propertyCode;desviations;deviacion_class
760000.0;642277.7;105276471;117722.3125;12_Extrema_pos
1350000.0;1274096.5;103984196;75903.5;11_Muy alta_pos
695000.0;662473.7;105221112;32526.3125;10_Alta_pos
990000.0;990687.25;105097292;-687.25;6_Muy baja_neg
950000.0;936268.6;103854305;13731.375;8_Baja_pos
740000.0;763727.3;104644553;-23727.3125;4_Media_neg
1175000.0;1148806.5;104332220;26193.5;9_Media_pos
189000.0;198992.81;105959607;-9992.8125;5_Baja_neg
189000.0;187187.8;105960165;1812.203125;7_Muy baja_pos
388000.0;454007.22;104061641;-66007.21875;2_Muy alta_neg
360000.0;356773.28;105474671;3226.71875;7_Muy baja_pos
370000.0;392354.06;105593267;-22354.0625;4_Media_neg
158000.0;353353.34;105961488;-195353.34375;1_Extrema_neg
425000.0;480204.06;105926431;-55204.0625;2_Muy alta_neg
399000.0;397344.16;105958208;1655.84375;7_Muy baja_pos
310000.0;332724.72;105961327;-22724.71875;4_Media_neg
871000.0;881206.06;105168560;-10206.0625;5_Baja_neg
169000.0;154002.05;105961423;14997.953125;8_Baja_pos
685000.0;684560.3;100187879;439.6875;7_Muy baja_pos
472000.0;465904.47;105635942;6095.53125;8_Baja_pos
792000.0;759765.9;105168561;32234.125;10_Alta_pos
1280000.0;1260191.0;105952427;19809.0;9_Media_pos
924000.0;888379.25;103113045;35620.75;10_Alta_pos
718200.0;779587.1;101725760;-61387.125;2_Muy alta_neg
355000.0;516607.06;104344732;-161607.0625;1_Extrema_neg
1075000.0;1227705.5;104909731;-152705.5;1_Extrema_neg
639500.0;733488.75;100947336;-93988.75;2_Muy alta_neg
1495000.0;1531507.6;104486547;-36507.625;3_Alta_neg
737000.0;623414.6;104052936;113585.375;12_Extrema_pos
824000.0;823035.2;99171470;964.8125;7_Muy baja_pos
580000.0;633239.75;105430531;-53239.75;2_Muy alta_neg
4300000.0;4139201.2;104012569;160798.75;12_Extrema_pos
854000.0;807664.5;104053151;46335.5;11_Muy alta_pos
361500.0;359156.47;105611053;2343.53125;7_Muy baja_pos
2200000.0;2206584.8;100594011;-6584.75;5_Baja_neg
559000.0;845952.94;104610824;-286952.9375;1_Extrema_neg
599000.0;591047.06;105381042;7952.9375;8_Baja_pos
2850000.0;2730947.0;103983877;119053.0;12_Extrema_pos
530000.0;535220.2;105868499;-5220.1875;5_Baja_neg
370000.0;381247.8;105923759;-11247.8125;5_Baja_neg
745000.0;737053.0;105568078;7947.0;8_Baja_pos
425000.0;424600.6;103213041;399.40625;7_Muy baja_pos
420000.0;394154.25;105959081;25845.75;9_Media_pos
765000.0;722312.0;103458179;42688.0;10_Alta_pos
685000.0;700048.75;105930161;-15048.75;4_Media_neg
2300000.0;2273073.5;96334152;26926.5;9_Media_pos
395000.0;381281.6;105473656;13718.40625;8_Baja_pos
1740000.0;1861232.6;103990708;-121232.625;1_Extrema_neg
485000.0;478088.34;105280335;6911.65625;8_Baja_pos
560000.0;530250.94;101230243;29749.0625;9_Media_pos
1450000.0;1374166.6;105437227;75833.375;11_Muy alta_pos
715000.0;687869.06;101254773;27130.9375;9_Media_pos
320000.0;338259.4;104964771;-18259.40625;4_Media_neg
1100000.0;1107253.0;104348524;-7253.0;5_Baja_neg
700000.0;725925.1;103030292;-25925.125;4_Media_neg
1195000.0;1250383.1;83767550;-55383.125;2_Muy alta_neg
230000.0;233400.66;105960040;-3400.65625;6_Muy baja_neg
390000.0;457570.7;105600750;-67570.6875;2_Muy alta_neg
1290000.0;1363896.8;104649629;-73896.75;2_Muy alta_neg
420000.0;421963.03;102230887;-1963.03125;6_Muy baja_neg
950000.0;967728.9;103181179;-17728.875;4_Media_neg
585000.0;591165.44;101675966;-6165.4375;5_Baja_neg
990000.0;1106170.1;101403621;-116170.125;1_Extrema_neg
700000.0;725885.56;105322721;-25885.5625;4_Media_neg
895000.0;923871.4;104425919;-28871.375;4_Media_neg
1320000.0;845542.44;105090311;474457.5625;12_Extrema_pos
710000.0;711142.75;102355604;-1142.75;6_Muy baja_neg
740000.0;711374.0;105035037;28626.0;9_Media_pos
460000.0;465313.9;105766866;-5313.90625;5_Baja_neg
530000.0;473579.56;105834681;56420.4375;11_Muy alta_pos
490000.0;479281.22;102008225;10718.78125;8_Baja_pos
760000.0;762634.2;105224153;-2634.1875;6_Muy baja_neg
790000.0;817839.94;101872566;-27839.9375;4_Media_neg
599000.0;671534.2;104205457;-72534.1875;2_Muy alta_neg
390000.0;401145.94;105618930;-11145.9375;5_Baja_neg
295000.0;289340.47;105946144;5659.53125;8_Baja_pos
1175000.0;1405866.2;105329353;-230866.25;1_Extrema_neg
320000.0;304076.16;105898660;15923.84375;9_Media_pos
2850000.0;2863656.8;105953187;-13656.75;5_Baja_neg
795000.0;664253.3;103518313;130746.6875;12_Extrema_pos
725000.0;720316.4;104731007;4683.625;7_Muy baja_pos
2100000.0;2048570.6;102795136;51429.375;11_Muy alta_pos
239000.0;325688.28;104353200;-86688.28125;2_Muy alta_neg
945000.0;1094609.9;104150679;-149609.875;1_Extrema_neg
535000.0;385179.0;101423471;149821.0;12_Extrema_pos
1900000.0;1369246.8;105046611;530753.25;12_Extrema_pos
475000.0;523114.06;104073363;-48114.0625;2_Muy alta_neg
2850000.0;2814682.2;105961779;35317.75;10_Alta_pos
1525000.0;1526526.2;103713739;-1526.25;6_Muy baja_neg
598000.0;525812.94;105659926;72187.0625;11_Muy alta_pos
430000.0;576800.75;104963717;-146800.75;1_Extrema_neg
2500000.0;1297570.2;101941375;1202429.75;12_Extrema_pos
1650000.0;1512227.6;88318137;137772.375;12_Extrema_pos
485000.0;439059.22;104565724;45940.78125;11_Muy alta_pos
1500000.0;1256043.4;102912353;243956.625;12_Extrema_pos
2500000.0;2407247.5;101651267;92752.5;11_Muy alta_pos
1900000.0;1769851.1;103258040;130148.875;12_Extrema_pos
1140000.0;1174402.1;105228892;-34402.125;3_Alta_neg
400000.0;401656.53;104595313;-1656.53125;6_Muy baja_neg
950000.0;996460.7;105390672;-46460.6875;2_Muy alta_neg
1770000.0;1617102.2;97362092;152897.75;12_Extrema_pos
730000.0;779409.44;104254346;-49409.4375;2_Muy alta_neg
330000.0;344212.28;101087741;-14212.28125;5_Baja_neg
599000.0;626910.1;104801319;-27910.125;4_Media_neg
1150000.0;1062680.1;104631874;87319.875;11_Muy alta_pos
1700000.0;1575090.1;105404692;124909.875;12_Extrema_pos
1250000.0;1393730.2;103364380;-143730.25;1_Extrema_neg
575500.0;590839.06;104620738;-15339.0625;4_Media_neg
550000.0;550035.0;103478038;-35.0;6_Muy baja_neg
1550000.0;1615183.4;105462652;-65183.375;2_Muy alta_neg
5000000.0;4433559.5;103516759;566440.5;12_Extrema_pos
1290000.0;1950160.5;104648836;-660160.5;1_Extrema_neg
895000.0;880429.94;104694090;14570.0625;8_Baja_pos
689000.0;616333.75;104257706;72666.25;11_Muy alta_pos
3900000.0;3685297.0;105338844;214703.0;12_Extrema_pos
1540000.0;1554035.5;104705532;-14035.5;5_Baja_neg
2420000.0;2324170.0;104680716;95830.0;11_Muy alta_pos
1400000.0;1393738.1;103013559;6261.875;8_Baja_pos
680000.0;720367.25;103210648;-40367.25;3_Alta_neg
2750000.0;2715914.0;105405206;34086.0;10_Alta_pos
1195000.0;1065373.1;105432622;129626.875;12_Extrema_pos
1395000.0;1434386.2;103518364;-39386.25;3_Alta_neg
950000.0;930731.2;103272413;19268.8125;9_Media_pos
380000.0;395341.97;104388372;-15341.96875;4_Media_neg
449000.0;443254.2;105199115;5745.8125;8_Baja_pos
550000.0;491660.72;105030838;58339.28125;11_Muy alta_pos
950000.0;954286.9;104542928;-4286.875;6_Muy baja_neg
3650000.0;3556504.0;104919516;93496.0;11_Muy alta_pos
521000.0;448921.66;104396322;72078.34375;11_Muy alta_pos
3750000.0;3758423.8;99750257;-8423.75;5_Baja_neg
289000.0;305204.53;104160734;-16204.53125;4_Media_neg
720000.0;716882.3;105939300;3117.6875;7_Muy baja_pos
530000.0;538128.3;105849885;-8128.3125;5_Baja_neg
980000.0;997624.6;105911337;-17624.625;4_Media_neg
795000.0;817367.3;103518556;-22367.3125;4_Media_neg
355000.0;351960.62;105946146;3039.375;7_Muy baja_pos
475000.0;469359.78;105909819;5640.21875;8_Baja_pos
600000.0;642725.0;105957219;-42725.0;3_Alta_neg
500000.0;503420.4;102860017;-3420.40625;6_Muy baja_neg
290000.0;293598.84;105960012;-3598.84375;6_Muy baja_neg
750000.0;724243.4;105962434;25756.625;9_Media_pos
385000.0;391384.66;105788915;-6384.65625;5_Baja_neg
400000.0;361754.22;105750598;38245.78125;10_Alta_pos
595000.0;611705.44;105958604;-16705.4375;4_Media_neg
960000.0;912463.75;105229591;47536.25;11_Muy alta_pos
290000.0;297890.62;103718170;-7890.625;5_Baja_neg
595000.0;633476.5;105519537;-38476.5;3_Alta_neg
868950.0;947013.2;105925739;-78063.1875;2_Muy alta_neg
1000000.0;1049667.6;102569515;-49667.625;2_Muy alta_neg
1150000.0;608969.1;104202011;541030.875;12_Extrema_pos
1150000.0;1069890.8;104514229;80109.25;11_Muy alta_pos
599000.0;626910.1;104853787;-27910.125;4_Media_neg
2600000.0;2521171.8;91871835;78828.25;11_Muy alta_pos
420000.0;405530.12;105959600;14469.875;8_Baja_pos
239000.0;289240.34;105656491;-50240.34375;2_Muy alta_neg
399000.0;397344.16;105958039;1655.84375;7_Muy baja_pos
1420000.0;1379860.6;105475324;40139.375;10_Alta_pos
339000.0;370175.5;105958684;-31175.5;3_Alta_neg
440000.0;522485.88;105957609;-82485.875;2_Muy alta_neg
1730000.0;1805519.1;33932885;-75519.125;2_Muy alta_neg
289000.0;259327.27;105959494;29672.734375;9_Media_pos
485000.0;472278.38;104849663;12721.625;8_Baja_pos
1190000.0;1003032.75;104259590;186967.25;12_Extrema_pos
1595000.0;2030193.4;103502818;-435193.375;1_Extrema_neg
580000.0;567963.4;104478337;12036.625;8_Baja_pos
386000.0;383296.62;105889615;2703.375;7_Muy baja_pos
189000.0;183327.25;103435255;5672.75;8_Baja_pos
399000.0;373324.03;101811965;25675.96875;9_Media_pos
460000.0;460320.22;105033807;-320.21875;6_Muy baja_neg
825000.0;846409.8;105637400;-21409.8125;4_Media_neg
2600000.0;2682430.2;105463754;-82430.25;2_Muy alta_neg
650000.0;589887.6;104950437;60112.375;11_Muy alta_pos
795000.0;1269574.8;88975940;-474574.75;1_Extrema_neg
375000.0;372411.22;105924354;2588.78125;7_Muy baja_pos
550000.0;520300.53;95279631;29699.46875;9_Media_pos
780000.0;817921.75;96153475;-37921.75;3_Alta_neg
430000.0;441404.5;105093875;-11404.5;5_Baja_neg
695000.0;689422.25;105468490;5577.75;8_Baja_pos
995000.0;972936.0;105652061;22064.0;9_Media_pos
595000.0;547154.4;105487499;47845.625;11_Muy alta_pos
1250000.0;1140508.0;104354126;109492.0;12_Extrema_pos
3400000.0;3181472.0;104487040;218528.0;12_Extrema_pos
455000.0;470578.47;100431350;-15578.46875;4_Media_neg
930000.0;959687.06;104210713;-29687.0625;4_Media_neg
260000.0;238523.97;105648388;21476.03125;9_Media_pos
1175000.0;1170986.6;105391850;4013.375;7_Muy baja_pos
3500000.0;3535803.8;103607591;-35803.75;3_Alta_neg
895000.0;982313.3;104799962;-87313.3125;2_Muy alta_neg
390000.0;397751.72;100001778;-7751.71875;5_Baja_neg
725000.0;777076.7;99625804;-52076.6875;2_Muy alta_neg
3500000.0;3570430.8;105157266;-70430.75;2_Muy alta_neg
410000.0;402688.7;105163164;7311.3125;8_Baja_pos
745000.0;739341.75;105485366;5658.25;8_Baja_pos
375000.0;417892.25;101337290;-42892.25;3_Alta_neg
498000.0;509657.25;103564660;-11657.25;5_Baja_neg
300000.0;302044.62;105152619;-2044.625;6_Muy baja_neg
895000.0;682391.06;105245464;212608.9375;12_Extrema_pos
549000.0;540193.8;105203209;8806.1875;8_Baja_pos
540000.0;564943.5;104732196;-24943.5;4_Media_neg
440000.0;458895.7;104216381;-18895.6875;4_Media_neg
270000.0;224002.86;105108601;45997.140625;11_Muy alta_pos
790000.0;734345.5;99168745;55654.5;11_Muy alta_pos
335000.0;321114.78;97412987;13885.21875;8_Baja_pos
390000.0;408502.28;105426273;-18502.28125;4_Media_neg
725000.0;735098.75;104799973;-10098.75;5_Baja_neg
1025000.0;1017568.75;105652128;7431.25;8_Baja_pos
795000.0;779028.94;103843759;15971.0625;9_Media_pos
595000.0;584185.7;104166840;10814.3125;8_Baja_pos
1050000.0;999577.8;104734103;50422.1875;11_Muy alta_pos
2500000.0;2531394.2;87309773;-31394.25;3_Alta_neg
399000.0;423482.84;103425417;-24482.84375;4_Media_neg
7450000.0;7456797.0;103043248;-6797.0;5_Baja_neg
1300000.0;1188207.1;98956576;111792.875;12_Extrema_pos
570000.0;548099.1;104849787;21900.875;9_Media_pos
3780000.0;1789919.5;104961844;1990080.5;12_Extrema_pos
535000.0;529111.3;104760993;5888.6875;8_Baja_pos
675000.0;750707.5;104353953;-75707.5;2_Muy alta_neg
475000.0;457929.53;103884640;17070.46875;9_Media_pos
775000.0;821249.9;104353875;-46249.875;2_Muy alta_neg
390000.0;411659.84;105382173;-21659.84375;4_Media_neg
