propertyCode;properties.name;properties.name_distancia
100187879;Escola Sagrada Família;104.81379390289446
105635942;Centre d'Estudis Montseny-Poblenou;82.47471511733082
105168561;Escola Sagrada Família;107.17912971942903
105952427;Col·legi Jesús i Maria;286.05784597528515
103113045;Escola Sagrada Família;104.81379390289446
101725760;Centre d'Estudis Montseny-Poblenou;281.92762849398866
104344732;Escola Tècnico-Professional Xavier;353.2810947887306
104909731;Santa Teresa - Ganduxer;336.13283952924996
100947336;Centre d'Estudis Montseny-Poblenou;281.92762849398866
104486547;Escola Orlandai;82.06058879356
104052936;Escola Sagrada Família;104.81379390289446
99171470;Escola Sagrada Família;104.81379390289446
105430531;Escola Mas Casanovas;132.3618934812295
104012569;Institució Cultural del CIC;64.88613651758685
104053151;Escola Sagrada Família;104.81379390289446
105611053;Centre d'Estudis Montseny-Poblenou;82.47471511733082
100594011;Lycée Français de Barcelone;213.50658468151087
104610824;Escola Tècnico-Professional Xavier;405.6520936224898
105381042;Acis-Artur Martorell;256.318740314539
103983877;Institució Cultural del CIC;370.76412035319487
105868499;Escola Pau Casals-Gràcia;257.35735743077186
105923759;Escola Bac de Roda;2.724566403968075
105568078;Jesuïtes Clot - El Clot;69.87922702389326
103213041;Escola Nausica;106.44548522322533
105959081;Escola Piaget;163.37792300616908
103458179;Institut Pau Claris;290.9241865085588
105930161;Sant Francesc d'Assís;282.11382219910547
96334152;Escola Joaquim Ruyra;378.9788134467744
105473656;Col·legi Sant Francesc Xavier;23.825441845815654
103990708;Lyceé Français de Barcelone;350.1219729243112
105280335;Escola Entença;175.54706306452314
101230243;CEE Vil·la Joana;126.9278598193643
105437227;Magic Mirror Center;219.06815055284184
101254773;CEE Vil·la Joana;376.89377655572656
104964771;Bemen-3;67.15838144255576
104348524;Escola Súnion;130.57287423222436
103030292;Escola Poeta Foix;164.65142483306693
83767550;Centre Educatiu Grèvol;462.8112195662371
105960040;Escola Magòria;107.79549011432746
105600750;Institut Lluïsa Cura;163.7507962456939
104649629;Mary Ward;69.54567217450519
102230887;Escola Piaget;76.31658203424882
103181179;Prat;230.73990535933098
101675966;Centre Educatiu Mare de Déu del Roser;225.11870951414988
101403621;Escola Patronat Domenech;129.74034500187338
105322721;Escola Santa Dorotea. Salesianes Sarrià;190.94397785662042
104425919;Escuela de Artes Aplicadas y Oficios Antiguos;119.85905137267909
105090311;La Capsa de Colors;119.16077905077384
102355604;Col·legi Reial Monestir de Santa Isabel;413.64829838352097
105035037;Col·legi Pare Manyanet;445.51233414064234
105766866;Institut Flos i Calcat;269.7928328647746
105834681;Escola Joan Miró;297.783204242856
102008225;CEE Vil·la Joana;516.594518285262
105224153;Lycée Français de Barcelone;182.43691468602103
101872566;Eada business school Barcelona;251.18856975645915
104205457;Escola Auró;122.09377115120056
105618930;Escola Poeta Foix;284.63409708099886
105946144;Escola Fedac Horta;310.90180845676974
105329353;La Salle Comtal;447.8480057567542
105898660;Escola Massana;409.1170333576649
105953187;Escola Augusta;299.8658815689798
103518313;Institut Manuel Carrasco i Formiguera;261.2607619075608
104731007;Santa Teresa - Ganduxer;438.9536727179372
102795136;NOVA estudis;263.74673377531263
104353200;Mare de Déu del Coll;229.21124685318992
104150679;Institut Poeta Maragall;248.21970908585834
101423471;Institut Escola Maria Miret;178.9348155510884
105046611;Escola Augusta;355.8315393280916
104073363;Escola Diputació;242.4410191542204
105961779;Escola Joaquim Ruyra;438.4740098212428
103713739;Institut Josep Serrat i Bonastre;180.9087900128469
105659926;Escola Parc de la Ciutadella;208.40402241303022
