propertyCode;Teatro ;Teatro _distancia
105925739;Casino l'Aliança del Poblenou;1440.4162928060912
102569515;Aquitania;90.0191416477866
104202011;Casino l'Aliança del Poblenou;2159.718659587054
104514229;Teatre Akademia;513.8899083854371
104853787;Palau Dalmases;220.9184132949013
91871835;Centre Parroquial de Sant Vicenç de Sarrià;1848.7133953299845
105959600;L'Autentica Teatre;1596.6305346265917
105656491;Teatre Grec;359.57074657861716
105958039;La Gleva;3322.797265698347
105475324;Jove Teatre Regina;226.88222595269983
105958684;Barcelona Teatre Musical;456.264212353743
105957609;Teatre Nacional de Catalunya. Sala Tallers;938.6708340812817
33932885;Centre Parroquial de Sant Vicenç de Sarrià;2118.083278497172
105959494;Auditori Sant Martí de Provençals;259.66468303598515
104849663;Aquitania;254.66257614819477
104259590;City Hall;179.32092065526757
103502818;;875.6807072124291
104478337;Nau Ivanow;624.778889023564
105889615;Nau Ivanow;408.91096519643673
103435255;L'Autentica Teatre;1559.5295722810401
101811965;Teatre Nacional de Catalunya. Sala Tallers;1061.1591691742863
105033807;Casino l'Aliança del Poblenou;672.8468245664227
105637400;Taller Masriera;347.1719689002446
105463754;Centre Parroquial de Sant Vicenç de Sarrià;871.3058139483952
104950437;La Villarroel;641.4103639447145
88975940;Palau de la Música Catalana;280.63012318156865
105924354;La Seca Espai Brossa;583.0328781543782
95279631;La Seca Espai Brossa;1385.770008442308
96153475;Poliorama;75.42322180397404
105093875;La Seca Espai Brossa;1225.5655359719785
105468490;La Gleva;411.15275895208237
105652061;Taller Masriera;346.1880595493128
105487499;La Seca Espai Brossa;376.37916648100025
104354126;Teatre Muntaner;78.50134350515957
104487040;Casino l'Aliança del Poblenou;1329.7234512946768
100431350;L'Autentica Teatre;1613.2580506897477
104210713;Sala Poblenou. Centre Moral i Cultural;1124.1890844837053
105648388;L'Antic Teatre;375.0815946690432
105391850;Club Capitol;195.15681825971612
103607591;Jove Teatre Regina;465.35151702012917
104799962;Taller Masriera;583.743226960553
100001778;Cafè-Teatre el Llantiol;126.49879968546598
99625804;Teatre Muntaner;218.50648961763923
105157266;L'Autentica Teatre;520.6990961544435
105163164;Teatre Gaudi;324.1238929769435
105485366;Palau Dalmases;347.4347755939312
101337290;La Seca Espai Brossa;877.231163691636
103564660;Condal;177.78381603064224
105152619;L'Autentica Teatre;792.0087576516288
105245464;La Gleva;664.7916863265472
105203209;Sala Poblenou. Centre Moral i Cultural;877.4161967443304
104732196;Nau Ivanow;766.4468959214317
104216381;Sant Andreu Teatre;873.5731935315121
105108601;Ateneu Popular de Nou Barris;468.25339924809515
99168745;Jove Teatre Regina;635.3149206506931
97412987;L'Antic Teatre;274.3854295844074
105426273;Aquitania;130.8068859254117
104799973;Taller Masriera;335.2084193466027
105652128;Taller Masriera;603.0959797751573
103843759;Sant Andreu Teatre;1412.835788460392
104166840;sala Ovidi Montllor;615.1075973768916
104734103;Teatre Borràs;223.24570700420327
87309773;Casino l'Aliança del Poblenou;1584.394577925297
103425417;L'Antic Teatre;266.07439356639446
103043248;Centre Parroquial de Sant Vicenç de Sarrià;1725.5745878564676
98956576;Jove Teatre Regina;109.75030938061292
104849787;Teatro Principal;1761.3029507559515
104961844;Aquitania;580.3875478874962
104760993;Teatre Gaudi;442.8242223851517
104353953;Taller Masriera;179.8001154488105
103884640;Taller Masriera;616.0624011642554
104353875;Taller Masriera;179.8001154488105
105382173;Club Capitol;171.12466028423358
102227080;Centre Parroquial de Sant Vicenç de Sarrià;503.560481854009
105623804;Teatre Borràs;67.73276798063175
105951524;La Seca Espai Brossa;812.747527120692
105960855;;437.0899004138513
105580168;La Villarroel;185.8961427064619
104354018;Taller Masriera;179.8001154488105
101506601;Coliseum;720.9047449638092
104353868;Taller Masriera;179.8001154488105
100686077;Teatre Nacional de Catalunya. Sala Tallers;697.6984220005568
101976766;L'Autentica Teatre;1113.8667681729298
104565607;Poliorama;329.52059929392993
105433213;Teatre del Raval;338.91546606347174
103792991;Teatre Nacional de Catalunya. Sala Tallers;1106.1301546017874
104173446;;726.5979074428975
103633505;Jove Teatre Regina;711.4736938313138
104349439;Sala Beckett;614.7460873751403
105797898;Centre Artesa Tradicionarius;239.1203654809532
105797637;Microteatre Barcelona;234.28003006345355
105829939;sala Ovidi Montllor;378.3086845786901
101474414;Casino l'Aliança del Poblenou;1453.5694309767025
105946964;Gran Teatre del Liceu;109.19973035716475
105839663;;112.82094850362797
105854229;Sala FlyHard;281.43022647296453
105839714;;112.82094850362797
105839720;;112.82094850362797
105958898;;863.1429103441095
105839423;;112.82094850362797
105839787;;112.82094850362797
105547917;Poliorama;140.49058572618267
96615163;Teatro de los sentidos;1213.3349768965581
105839717;;112.82094850362797
105839647;;112.82094850362797
105189637;Jove Teatre Regina;466.99951075800476
105839760;;112.82094850362797
104180910;Auditori Sant Martí de Provençals;639.2215283607759
105960948;Aquitania;600.2284260357396
102895977;L'Autentica Teatre;1846.156278334738
104847949;Teatre Tívoli;29.971736272377875
105181181;Sala 2 Oriol Martorell;628.2467053478705
105822950;Jove Teatre Regina;534.3138176805223
105220285;Sant Andreu Teatre;1163.9142671379875
104005591;Sant Andreu Teatre;1165.5058909714628
105334137;Sant Andreu Teatre;1165.5058909714628
105334130;Sant Andreu Teatre;1165.5058909714628
104711279;Sant Andreu Teatre;1165.5058909714628
105931028;Nau Ivanow;801.8604693654145
105476397;Teatre Akademia;601.4892999238326
105334082;Sant Andreu Teatre;1163.9142671379875
103150583;La Gleva;1055.8250849065496
105383529;;251.9585032987341
101035148;Jove Teatre Regina;443.4812634389543
99507426;Jove Teatre Regina;327.74600033149966
99507402;Jove Teatre Regina;385.90307055118234
103012380;Jove Teatre Regina;617.1971147997618
105015543;Jove Teatre Regina;409.08388615960064
105962079;Jove Teatre Regina;247.51631819185266
105957679;La Gleva;3263.798332959098
105220310;Sant Andreu Teatre;1165.5058909714628
105058690;La Villarroel;632.3983636084855
103437385;Teatre Akademia;339.16584738639045
102719165;;832.0417051835025
105180403;;944.3039693902238
104742512;Microteatre Barcelona;287.3609898533671
105116389;Casino l'Aliança del Poblenou;2426.8097334291183
102255078;Barcelona Teatre Musical;887.2851343490064
104919721;;304.76437720546613
104252384;;611.211965528008
82383309;Palau Dalmases;60.634072669041394
104950919;Poliorama;148.6160900817024
100587294;Taller Masriera;513.5272740025104
94915382;Teatre Tívoli;254.29754704011188
105431273;Teatro Principal;533.7775629115265
96906881;City Hall;198.170324031049
104635725;Teatre del Raval;168.59111576503295
97800187;L'Autentica Teatre;2406.4240818428384
105462512;Jove Teatre Regina;457.5446959242706
102594570;Aquitania;856.801407189493
104022336;Palau de la Música Catalana;109.3873324680285
103432919;Casino l'Aliança del Poblenou;1628.501054689318
104627267;L'Antic Teatre;606.5606750978051
104757452;Aquitania;535.3391194535886
103806164;Teatro Principal;156.0786875773127
104974200;La Seca Espai Brossa;1018.3458243611844
105672649;Coliseum;516.3930150756221
105324023;Casino l'Aliança del Poblenou;740.5884602522824
105559224;Aquitania;1041.3813823670332
105201803;;822.414428299853
103738620;Jove Teatre Regina;636.6060812549499
105265654;Teatre Akademia;659.776177391358
105647593;La Seca Espai Brossa;443.86522699762037
105515026;La Gleva;587.4276916408023
102312407;;1220.8207231749836
