propertyCode;latitude;longitude;estacion_mas_cercana;distancia_metros
105916095;41.3727899;2.10294;Can Vidalet;290.6392656472019
105501855;41.3707063;2.1069804;Pubilla Cases;345.26643815120497
105577521;41.3719485;2.1242532;Santa Eulàlia;504.87186974000076
105406957;41.3662003;2.1176685;Torrassa;259.8746274619458
105776347;41.3662309;2.119361;Torrassa;332.4594094711967
104919263;41.3717953;2.1068644;Pubilla Cases;225.1446875837642
97072398;41.3724564;2.1015247;Can Vidalet;167.90296829043828
105556015;41.3623379;2.0947815;Rambla Just Oliveras;462.68029747743367
105923906;41.3625749;2.0981949;Rambla Just Oliveras;208.6402418541556
105644422;41.3570839;2.0974259;Avinguda Carrilet;468.5245093066537
99729256;41.3642442;2.0993998;Rambla Just Oliveras;50.20406825130511
105656714;41.3761987;2.112649;Ernest Lluch;61.40433592373013
105937208;41.3654548;2.120779;Torrassa;477.36751576740136
105182976;41.3663823;2.0898694;Can Boixeres;139.73593819115854
102764079;41.3580134;2.09711;Avinguda Carrilet;460.5652047299515
104982208;41.3694988;2.1180417;Torrassa;169.3457491283537
105299206;41.371234;2.1023734;Can Vidalet;225.69333237824745
103185100;41.3742852;2.1122983;Ernest Lluch;180.19108587105003
105567076;41.3608497;2.0980485;Rambla Just Oliveras;378.1538553692413
105321498;41.362112;2.1003569;Rambla Just Oliveras;209.7806067298235
104708785;41.3724123;2.1194255;Collblanc;393.7800233997568
105488673;41.3689574;2.1155029;Torrassa;105.02509646845203
105304686;41.3715139;2.1200567;Torrassa;448.6970391648007
105438940;41.3721934;2.1221007;Collblanc;512.5068668713704
105882757;41.3678892;2.1058037;Can Serra;257.6849869416953
105985211;41.3632615;2.1122278;Sant Josep;300.433725470995
105095616;41.3661619;2.1083774;Florida;269.07077674648855
105036762;41.3703717;2.1100454;Florida;228.2549466010915
105095782;41.3643547;2.1085875;Sant Josep;406.1516347715238
105717993;41.3683965;2.1163555;Torrassa;23.030545586770373
106003599;41.3726793;2.0995966;Can Vidalet;105.5486021649635
103575981;41.3747367;2.1150115;Ernest Lluch;280.2801732868249
98208293;41.3739693;2.1032762;Pubilla Cases;322.08928413770485
105932878;41.3643806;2.1206927;Provençana;448.6133917431558
105001762;41.3734349;2.1129343;Ernest Lluch;283.43924447983255
105688730;41.3615137;2.1012796;Rambla Just Oliveras;296.65147656629773
105614740;41.3724595;2.1074386;Pubilla Cases;152.68855508939336
101256810;41.3707503;2.0995664;Can Vidalet;110.7586059572784
105793500;41.3581997;2.1246501;Europa-Fira;128.15062662141227
105909037;41.3718806;2.1175423;Torrassa;393.39314123078327
106007025;41.3667828;2.1238921;Santa Eulàlia;453.4842000734519
106009628;41.3661166;2.1205597;Torrassa;415.5769335769338
105503645;41.3702895;2.1074207;Florida;297.31110301775317
105501372;41.3607289;2.1254748;Provençana;122.99191250378013
106010908;41.3665005;2.1199783;Torrassa;351.0363197095379
104167436;41.3614036;2.1063734;Sant Josep;337.4558931286591
104675664;41.3636307;2.1186735;Can Tries - Gornal;325.5627347764528
105495543;41.3688134;2.1165812;Torrassa;45.467062755977906
106000775;41.3566722;2.1153164;Gornal;256.88896491765973
106007393;41.3648304;2.1216539;Provençana;441.5568482316323
104565895;41.3588702;2.1019318;Avinguda Carrilet;46.366008044494436
105890152;41.3669385;2.1081669;Florida;207.4490232039317
106006550;41.367846;2.1227165;Santa Eulàlia;503.9261429129359
105495572;41.3711421;2.1154988;Torrassa;318.3149075060931
105801954;41.36037;2.1049405;Avinguda Carrilet;261.6741435744129
104941970;41.3528357;2.1079445;Bellvitge Rambla Marina;325.31784093885
103274221;41.372939;2.1123149;Ernest Lluch;329.1849639480599
105168126;41.3617307;2.1244694;Provençana;40.87113052872224
106018806;41.3645718;2.1268664;Provençana;414.03976516661214
105272497;41.3618136;2.1074558;Sant Josep;261.3257287799721
105692295;41.3740574;2.1087995;Pubilla Cases;143.03745220008133
105929736;41.3691519;2.1168436;Torrassa;84.76985470667265
105027109;41.3506587;2.1094076;Bellvitge Rambla Marina;132.29439422067335
105481874;41.3599973;2.1248618;Provençana;161.56361668122452
105765869;41.3704019;2.1065803;Florida;356.80629351970487
105350715;41.3827378;2.0741291;Can Boixeres;2309.883128457299
98096792;41.3802602;2.0676652;Sant Ildefons;2339.614460010269
98984306;41.3802602;2.0676652;Sant Ildefons;2339.614460010269
98941399;41.3797602;2.0660652;Sant Ildefons;2378.9495727783233
100584105;41.383001;2.0824307;Can Vidalet;1914.7895583652623
104906423;41.3829102;2.0798989;Can Boixeres;2057.491088302486
96864371;41.3804375;2.0812812;Can Boixeres;1761.0453978758985
104454195;41.3772749;2.0771114;Sant Ildefons;1660.9636970631086
104387018;41.3796314;2.0720866;Sant Ildefons;2078.860349875549
103349156;41.377649;2.07881;Can Boixeres;1625.1115228710873
103398399;41.3808429;2.0690298;Sant Ildefons;2327.196603564781
103398302;41.3785004;2.0689509;Sant Ildefons;2118.7885286657756
104856542;41.3788339;2.0668237;Sant Ildefons;2259.4163927443456
104168166;41.3811466;2.0747761;Sant Ildefons;2132.7134360452
105874832;41.3797083;2.0695161;Sant Ildefons;2199.872618308439
105283126;41.3812414;2.0689923;Sant Ildefons;2365.9813971601975
105233786;41.3797061;2.0706996;Sant Ildefons;2145.4435494938034
105595129;41.3808328;2.0711231;Sant Ildefons;2234.6848928503373
105224676;41.3806325;2.0700157;Sant Ildefons;2263.009006759325
105233608;41.3824025;2.0725724;Sant Ildefons;2334.137983013596
103010452;41.380902;2.0699237;Sant Ildefons;2292.496193246311
105877994;41.3791254;2.0725468;Sant Ildefons;2010.9984863900495
100997287;41.385023;2.0755022;Can Boixeres;2447.3759632549004
103016901;41.3858005;2.0758294;Can Boixeres;2505.6305484041072
104573176;41.3842602;2.0756374;Can Boixeres;2370.581365206684
104706278;41.3804158;2.0669624;Sant Ildefons;2388.814126683244
99140265;41.3786033;2.0757147;Sant Ildefons;1841.7123536398396
103489036;41.3794266;2.0743556;Sant Ildefons;1971.5565066397573
98812321;41.3781868;2.0723671;Sant Ildefons;1928.583622193995
