properties.name;latitude;longitude
Santa Teresa - Ganduxer;2.1330118;41.3994259
Escola Pla de les Vinyes;2.0219265;41.3701954
Escola Lola Anglada;1.9159739;41.4798572
CEE El Pontarró;1.9096015;41.4868754
Escola La Inmaculada;2.0097477;41.3929018
Institut Salesians Sant Vicenç dels Horts;2.0083579;41.3904948
Escola Sant Josep;2.0026228;41.4014025
Escola La Guàrdia;2.0040004;41.3919245
Institut Gabriela Mistral;1.9965934;41.3945681
Escola Antoni Brusi;2.1892862;41.3908631
Escola del Corb;1.9326195;41.4195152
Institut Olorda;2.0544157;41.3835929
Escola Miquel Martí i Pol;2.0573381;41.3866611
Escolàpies Sant Martí - Barcelona;2.181769;41.4124358
Escola Les Acàcies;2.2047796;41.4042335
Escola La Mar Bella;2.2046446;41.3998972
Institut Narcís Monturiol;2.1447984;41.4323448
Escola Roser Capdevila;2.0763904;41.3700708
Escola Joan Juncadella;2.0098029;41.3992747
Escola Sant Vicenç;2.012388;41.3926322
Institut Josep Mestres i Busquets;2.0114377;41.313479
European International School of Barcelona;2.0945102;41.4692852
Escola Sant Antoni;1.9943131;41.3837791
INS Frederic Mompou;1.9931215;41.3835007
Centre Educatiu Jesuïtes de Gràcia. Kostka;2.1564154;41.4144489
Escola Frederic Mistral - Tècnic Eulàlia (Centre Tibidabo);2.1326397;41.4159703
Institut Moisès Broggi;2.1785229;41.4136204
Escola Mercè Rodoreda;1.9176865;41.4759904
Institut Lluís Companys;2.1517172;41.4965069
Institut Icària;2.1959072;41.3937891
La Salle Bonanova;2.1309911;41.4068083
Jesuïtes Sarrià - Sant Ignasi;2.1204461;41.4041924
Escola Llibertat;2.2328573;41.4547651
Institut La Pineda;2.2393971;41.4527068
Escola Joan Llongueras;2.2339923;41.4543467
Institut La Pineda - Aula de suport;2.2361835;41.4535431
Col·legi Cultural;2.2467152;41.4526351
Escola Llorens i Artigas;2.2324173;41.4485346
Institut Badalona VII;2.2367449;41.4455656
Escola Planas i Casals;2.2370933;41.4590805
Amor de Dios;2.1669395;41.4321196
Escola Pau Picasso;2.2270502;41.4497949
CEE Can Barriga;2.2407502;41.4567491
Institut del Teatre;2.1573904;41.3716722
Institut El Calamot;1.9923464;41.3077727
Amor de Déu;2.2220696;41.4274841
Escola Bressol Casa dels Infants de la Muntanyeta;1.9713136;41.2815177
Escola De Bosc de Montjuïc;2.161156;41.3691666
Escola Ignasi Iglésias;2.1913962;41.4415085
Escola Milà i Fontanals;2.1682274;41.3816395
Maristes Anna Ravell;2.1616756;41.3720609
Escola Poble-sec;2.164549;41.3705647
Escola La Muntanyeta;2.1475165;41.3700953
Escola Enric Granados;2.1421821;41.3570103
Institut de Corbera de Llobregat;1.9411981;41.4198762
Escola Miralletes;2.1789856;41.4136251
Escola Molí de Finestrelles;2.1895386;41.4391738
Centre d'Educació Infantil i Primària Josep Guinovart;1.9653116;41.2708071
Sant Ferran;1.9715159;41.2780755
British School Barcelona;1.9895993;41.272075
Escola La Vinyala;2.0087424;41.3883904
Institut Rafael Casanova;2.0287061;41.3549308
Escola Rafael Casanova;2.0282671;41.3542759
Llor;2.0240471;41.3560802
Institut Banús;2.1349516;41.4922719
Escola Calderón de la Barca;2.1719992;41.4334129
Escola Colònia Güell;2.0250264;41.3635969
Escola de Sant Andreu de la Barca;1.9787595;41.4431292
Jesuïtes Gràcia - Kostka;2.1551588;41.4110031
CEE Jeroni de Moragas;2.1208719;41.4982148
Institut Jaume Mimó;2.121465;41.4974728
FEDAC Montcada;2.1880838;41.4852339
Escola Oficial d'Idiomes Barcelona Sant Gervasi;2.1497076;41.4029019
Institut Escola del Treball;2.1476196;41.3889971
