properties.name;properties.route_ref;latitude;longitude
Av Barcelona - John F Kennedy;157;2.0758625;41.3705205
Cal Riera;;1.876325;41.9334193
Cal Riera;;1.8764663;41.9336158
Cal Vidal;;1.8800399;41.9456598
l'Ametlla de Merola;;1.8798286;41.9091028
Av. Barcelona - Pau Casals;416;2.2619467;41.5423795
Llaceres, Sant Josep;;2.0884933;41.4645287
Ctra. de la Floresta;A6;2.0943825;41.4471264
;;1.8729256;42.0517479
;;1.8732827;42.0525679
Pl de Joan Peiró - Estació de Sants;78;2.139138;41.3781855
Cova Fumada - Carles Riba;L97;1.9436039;41.2672197
Enllaç - Cabrianes;;1.897025;41.8053271
;;1.8976908;41.8064327
Lilà - Geranis;128;2.1009053;41.4281422
Lilà - Presseguer;128;2.10088;41.4282509
Lilà - Menta;128;2.1007318;41.429453
;;2.0907686;41.4493264
;;2.0905165;41.448427
;;2.0907159;41.4455691
;;2.0891252;41.445541
Av. Pau Casals - Cal Xiquet;476;2.031216;42.0096628
Sagàs - Cruïlla La Guàrdia;476;1.9629733;42.0379851
Ctra. C-154 - Casa Miquela;476;2.1475533;41.9573775
Rotonda de Font Blava;;2.3486472;41.5050095
Av Ribera de laBugada - Pg. Mestre Pau Casals;625;2.749516;41.670174
Pl. de Roig i Jalpí;625;2.7503119;41.675597
Roig i Jalpí - Esperança - Camp de Fútbol;625;2.7503685;41.6757498
Pla de Grassetes - Canadell;e9;2.0613456;41.8911153
Sants Estació d'Autobús;;2.1392964;41.3799781
Súria;L1446;1.750352;41.8323967
Av. Verge de Montserrat;;2.0699367;41.4437005
Ctra. de Manresa - La tosca;722;2.0963549;41.8092333
Ctra. BV-4512 - Vila Vilà;722;1.912727;41.7790254
Carrer número 3 - Carrer C;110;2.135622;41.3340951
Francesc Ribalta - Jordi de Déu;EP2;2.0886801;41.3876961
Mercabarna - Mercat del Peix;109 N1;2.1171593;41.3339984
;;1.8406855;41.594398
Jaume I - Pl Lluís Companys;96 155 N3;2.1886949;41.4821029
Carretera de Setmenat / Can Costet;;2.1443979;41.592899
Camí del Sanatori - Ctra de Vallvidrera;128;2.0965448;41.4210076
Rambla dels Països Catalans - Torras i Bages;96 103 155 N3;2.186952;41.489383
Amadeu Torner;46 65 L70 L72 L80 L86 L94 L95 LH1 H12 N15 N16 N17 N18 902a;2.1242094;41.3564995
Centre Inf. Fogars de Monclús;573;2.4601308;41.7152963
Sarrià;V7;2.1146596;41.4038765
Hospital Can Ruti;B12;2.2373777;41.4827628
Creu de Terme;B29 B34 B35 E33 N9;2.2689182;41.4746768
Av. Lluís Companys - Balmes;231;2.154888;41.5535765
Rambla - Ernest Lluch;231;2.1569011;41.553561
Pol. Ind. Zona Franca;V3;2.1426665;41.3454729
Ctra. Alta de les Roquetes;182;2.1635978;41.4443533
Cardona;L1446;1.6835141;41.9152063
Carrer número 3 - Carrer F;110;2.1272638;41.3373066
F. W. Setürner - Rec de Dalt;;2.2249117;41.5492672
Ctra. de Vic a Manresa - Cal Soldevila;722;1.9952654;41.7898914
Av. Barcelona – Pl. Bàscula;;2.0207227;41.4088545
Pg del Grèvol - Camí de Can Castellví;118;2.0848259;41.4200946
Pg del Grèvol - Pg del Pi Forcat;118;2.0869468;41.4217578
Av. de l'Exèrcit - Trias i Giró;EP1 JM H4 E44;2.1111376;41.3856226
