Teatro ;longitude;latitude
Club Capitol;41.3849977;2.1707085
Can Rajoler;41.5724031;2.2338557
Teatre Joventut;41.372552;2.1177841
Auditori Municipal;41.6844093;2.2874297
El Molino;41.3745513;2.1672449
Teatre Victòria;41.3748027;2.1687428
Teatre Apolo;41.3747462;2.1703632
Teatre Esplai;41.9079102;1.8837222
Teatre Municipal La Cooperativa;41.5166566;2.1274055
Espai Maragall;41.3026308;2.0020349
Centre Artesa Tradicionarius;41.4025338;2.1545216
Auditori Municipal Antonio Díaz;41.5105647;2.1134069
La Masa;41.5179752;2.358324
Centre Cultural Terrassa;41.5661318;2.0071718
Centre Civic de Begues;41.3305349;1.9180922
Cal Gallifa;41.7439378;1.806909
Sala de Teatre. ETC;41.5027476;2.1047805
Teatre - Auditori Can Palots;41.6188731;2.278634
Sants Teatre del Centre;41.3743883;2.1349158
Sala FlyHard;41.3718421;2.1406718
Teatre Casal Cultural;41.7503811;1.871625
sala del Molí de l'Esperança;41.9403758;2.243635
Centre Cultural de Bellavista;41.620532;2.2997479
Teatre Muntaner;41.3841161;2.162911
La Seca Espai Brossa;41.3851859;2.1823507
Teatreneu;41.4032396;2.1585587
Ateneu Popular de Nou Barris;41.448567;2.1800033
Teatre Jardí;41.55506;1.6752481
Lliure;41.4027189;2.1559586
City Hall;41.3877482;2.1682551
Teatro de los sentidos;41.3636041;2.1431923
Teatre Principal;41.225437;1.7239043
Teatre Centre Unió Agrícola;41.605501;1.6427199
La Casa de los Contos;41.4028862;2.1588995
Teatre del Raval;41.3793223;2.1650025
Teatre;41.3681687;2.0176143
Teatre Fontova;41.3612458;2.0276571
Centre Parroquial;41.4981277;2.1591083
Teatre l'Estruch;41.5540379;2.1000076
Teatre Sant Viçenc;41.5552859;2.1031585
Auditori Barradas;41.3626755;2.1006741
Sala Els Carlins;41.723741;1.8264662
Casal Francesc Macià;41.798842;2.2195974
Teatre Eliseu;41.9813996;2.3091887
Teatre municipal;42.245139;1.9746823
Microteatre Barcelona;41.4015887;2.164673
La Villarroel;41.3845106;2.1574535
Teatre Tívoli;41.3888056;2.17027
Auditori Municipal Eduard Toldrà;41.2297698;1.7261396
Palau Dalmases;41.3847112;2.1813669
Teatre Principal;41.5455472;2.1081143
Cafè-Teatre el Llantiol;41.3788618;2.1674882
Barts;41.3752309;2.169594
Condal;41.3747886;2.1647518
L'Antic Teatre;41.3871392;2.1759819
Teatre Orfeó Calellenc;41.6159928;2.6656159
sala Ovidi Montllor;41.3716143;2.1569306
Teatre Borràs;41.3888477;2.1735904
El Círcol;41.4502037;2.2473901
Sala 2 Oriol Martorell;41.3989019;2.1849328
Sala 1 Pau Casals;41.398234;2.1858287
Sala 4 Alicia de Larrocha;41.3986786;2.1855739
Sala 3 Tete Montoliu;41.3984452;2.1852359
Teatre Akademia;41.3927386;2.147171
Jove Teatre Regina;41.3968292;2.1560889
Sala Iberia;41.3812083;2.0464864
;41.3810795;2.0465052
Centre Moral d'Arenys de Munt;41.6111921;2.539343
ETC. Esbart Teatral Castellar;41.6166414;2.086671
Teatre Gaudi;41.4074303;2.16953
La Gleva;41.4032061;2.1459094
Carpa Revolució;41.2606057;1.7658002
Aquitania;41.3901979;2.1447718
Golem's;41.4060827;2.1614031
Sala Hiroshima;41.3738917;2.1696061
Auditori la Torrassa;41.3704842;2.1232532
;41.3787928;2.1347327
Teatre L'Ateneu Igualadí;41.5797996;1.6204103
Sala Ars;41.3884562;2.1738887
Teatre Auditori Polivalent;41.6741501;2.2103718
Centre Parroquial de Sant Vicenç de Sarrià;41.40057;2.1206713
Teatro Cajigal;10.1363439;-64.6838273
Aulas Anfiteatricas;10.1741144;-64.6553384
El Casal;41.6243857;2.569414
Auditori;41.3809828;2.0430295
La Puntual;41.3868174;2.1812244
Sala Municipal;41.5155574;1.9018078
Teatre de l'Aurora;41.58095;1.6169434
;41.5420301;2.4432723
Centru. Teatre Municipal de Canet;41.5897569;2.5822357
Microteatre Barcelona;41.4046853;2.1571547
L'Autentica Teatre;41.4066659;2.1549408
Casal de San Pere;41.5685431;2.0183576
Oracles Theater;41.3739321;2.1645433
Casino del Masnou;41.4792687;2.3185076
Espai Polivalent Ca n'Humet;41.4822337;2.3227196
Espai Piluso;41.3720486;2.1650065
Teatre La Faràndula;41.5464662;2.1108535
teatro estable;10.1352406;-64.6821631
Tablao Flamenco Cordobes;41.379138;2.1746555
Tub d'assaig;41.5678494;2.012381
Teatre Círcol Catòlic;41.2246219;1.7254275
Taller L'Estaquirot;41.2279667;1.7203007
;41.3417025;2.0424424
Cal Ninyo;41.346244;2.041805
Teatre Alegria;41.5641165;2.0108272
Youkali Escola de Teatre Musical;41.403691;2.1605474
L'Amistat;41.4900115;2.3590926
Ateneu Vilassanés;41.5042321;2.3927851
Teatre Foment;41.5180423;1.7435071
;41.4968105;2.1294018
Centre Parroquial;41.7991985;2.2210582
Centre Cultural i Recreatiu. Teatre;41.6285994;2.6894026
La Nau Espacial;41.7992806;2.2251775
Teatre Plaza Castelldefels;41.2791698;1.9793704
;41.4925945;2.1854879
Auditori Can Batlló;41.3691951;2.1372772
Centre Cívic i Cultural;41.633789;2.1643083
